Symbol,Date,open,high,low,close,adjusted close,volume,dividend amount,Close_diff
META,2024-01-05,351.32,353.5,340.01,351.95,349.8118,60512753,0.0,-2.009999999999991
META,2024-01-12,354.7,377.06,352.05,374.49,372.2149,85986730,0.0,22.54000000000002
META,2024-01-19,373.65,384.36,358.61,383.45,381.1204,66056802,0.0,8.95999999999998
META,2024-01-26,387.95,396.79,381.1601,394.14,391.7455,77135380,0.0,10.689999999999998
META,2024-02-02,394.985,485.96,387.1,474.99,472.1043,171972674,0.0,80.85000000000002
META,2024-02-09,469.88,473.59,453.0,468.11,465.2661,122781818,0.0,-6.8799999999999955
META,2024-02-16,468.19,488.62,455.09,473.32,470.4444,104693912,0.0,5.2099999999999795
META,2024-02-23,469.715,494.3599,461.79,484.03,481.6033,70992664,0.5,10.70999999999998
META,2024-03-01,483.47,504.25,479.92,502.3,499.7817,69243423,0.0,18.27000000000004
META,2024-03-08,503.0,523.57,487.89,505.95,503.4134,76590861,0.0,3.6499999999999773
META,2024-03-15,497.01,502.31,476.0,484.1,481.673,89007219,0.0,-21.849999999999966
META,2024-03-22,491.91,515.04,481.28,509.58,507.0252,52202585,0.0,25.47999999999996
META,2024-03-28,505.79,510.0,485.15,485.58,483.1455,44788439,0.0,-24.0
META,2024-04-05,487.2,530.7,481.78,527.34,524.6962,77389395,0.0,41.76000000000005
META,2024-04-12,529.28,531.4899,505.8,511.9,509.3336,57542681,0.0,-15.440000000000055
META,2024-04-19,516.72,518.53,475.73,481.07,478.6582,75578595,0.0,-30.829999999999984
META,2024-04-26,489.715,510.0,414.5,443.29,441.0676,185705182,0.0,-37.77999999999997
META,2024-05-03,439.56,454.17,427.11,451.96,449.6941,91987468,0.0,8.669999999999959
META,2024-05-10,455.58,477.5,453.34,476.2,473.8126,60373022,0.0,24.24000000000001
META,2024-05-17,472.75,482.4999,460.08,471.91,469.5441,65663289,0.0,-4.289999999999964
META,2024-05-24,469.95,479.8499,461.54,478.22,475.8224,57338047,0.0,6.310000000000002
META,2024-05-31,476.575,480.86,454.4601,466.83,464.4896,47057019,0.0,-11.390000000000043
META,2024-06-07,470.86,502.82,468.24,492.96,490.4886,54106676,0.0,26.129999999999995
META,2024-06-14,493.86,514.01,493.41,504.16,502.1299,53091829,0.5,11.200000000000045
META,2024-06-21,501.67,510.75,492.39,494.78,492.7877,59258940,0.0,-9.380000000000052
